index,genres,keywords,original_title,title,cast,director
1718,Comedy Family Fantasy,witch halloween salem trick or treating spellcasting,Hocus Pocus,Hocus Pocus,Bette Midler Sarah Jessica Parker Kathy Najimy Omri Katz Thora Birch,Kenny Ortega
1719,Comedy,italy competition loss of mother loss of sister new love,No Reservations,No Reservations,Catherine Zeta-Jones Aaron Eckhart Abigail Breslin Patricia Clarkson Jenny Wade,Scott Hicks
1720,Action Crime,crime fighter secret identity comic book superhero murder,Kick-Ass,Kick-Ass,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Nicolas Cage Mark Strong,Matthew Vaughn
1721,Action Adventure Comedy,pizza delivery adventure pizza boy number in title comedy,30 Minutes or Less,30 Minutes or Less,Jesse Eisenberg Danny McBride Aziz Ansari Bianca Kajlich Nick Swardson,Ruben Fleischer
1722,Thriller Horror,vampire dracula bite blood vlad,Dracula 2000,Dracula 2000,Gerard Butler Christopher Plummer Jonny Lee Miller Justine Waddell Jennifer Esposito,Patrick Lussier
1723,Family Comedy,based on novel job interview bad luck wish one day,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",Steve Carell Jennifer Garner Ed Oxenbould Dylan Minnette Kerris Dorsey,Miguel Arteta
1724,Drama Romance,bachelor beautiful prejudice suitor period drama,Pride & Prejudice,Pride & Prejudice,Keira Knightley Matthew Macfadyen Rosamund Pike Simon Woods Donald Sutherland,Joe Wright
1725,Science Fiction Drama Thriller,artificial intelligence man vs machine cyborg bounty hunter android,Blade Runner,Blade Runner,Harrison Ford Rutger Hauer Sean Young Edward James Olmos M. Emmet Walsh,Ridley Scott
1726,Adventure,scotland biography 18th century highlands violent man,Rob Roy,Rob Roy,Liam Neeson Jessica Lange John Hurt Tim Roth Eric Stoltz,Michael Caton-Jones
1727,Action Drama Thriller Crime,retirement secret service illegal drugs,3 Days to Kill,3 Days to Kill,Kevin Costner Amber Heard Hailee Steinfeld Connie Nielsen T\u00f3mas Lemarquis,McG
1728,Drama Crime Thriller,new york father son relationship nightclub gangster,We Own the Night,We Own the Night,Joaquin Phoenix Eva Mendes Alex Veadov Mark Wahlberg Robert Duvall,James Gray
1729,Horror Thriller,pedophilia daughter anti-christ incest,Lost Souls,Lost Souls,Winona Ryder Ben Chaplin Sarah Wynter Philip Baker Hall John Hurt,Janusz Kami\u0144ski
1730,Documentary,ocean lake bird horse parrot,Le peuple migrateur,Winged Migration,Philippe Labro Jacques Perrin,Jacques Perrin
1731,Comedy Drama Family Fantasy Romance,jinx bad luck kiss romantic comedy alcohol abuse,Just My Luck,Just My Luck,Lindsay Lohan Samaire Armstrong Chris Pine Missi Pyle Makenzie Vega Norfolk,Donald Petrie
1732,Drama Comedy,sport ice hockey,"Mystery, Alaska","Mystery, Alaska",Russell Crowe Hank Azaria Mary McCormack Burt Reynolds Colm Meaney,Jay Roach
1733,Action Comedy Family,duringcreditsstinger,The Spy Next Door,The Spy Next Door,Amber Valletta Lucas Till Jackie Chan Billy Ray Cyrus George Lopez,Brian Levant
1734,Adventure Comedy Family Fantasy,magic wish kids fairy godmother,A Simple Wish,A Simple Wish,Martin Short Kathleen Turner Mara Wilson Robert Pastorelli Deborah Odell,Michael Ritchie
1735,Action Horror Science Fiction,climbing up a wall hung upside down flashback within a flashback cavern battering,Ghosts of Mars,Ghosts of Mars,Natasha Henstridge Ice Cube Jason Statham Clea DuVall Pam Grier,John Carpenter
1736,Comedy Drama,bolivia woman political campaign south america year 2002,Our Brand Is Crisis,Our Brand Is Crisis,Sandra Bullock Anthony Mackie Billy Bob Thornton Zoe Kazan Scoot McNairy,David Gordon Green
1737,Romance Horror Comedy Thriller,based on novel dystopia shaolin prejudice zombie,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,Lily James Sam Riley Jack Huston Bella Heathcote Douglas Booth,Burr Steers
1738,Drama,buddhism china mountains buddhist monk tibet,Kundun,Kundun,Tenzin Thuthob Tsarong Tencho Gyalpo Tsewang Migyur Khangsar Gyurme Tethong Robert Lin,Martin Scorsese
1739,Comedy Romance Drama,failure starlet,How to Lose Friends & Alienate People,How to Lose Friends & Alienate People,Kelan Pannell Janette Scott Simon Pegg Megan Fox Gillian Anderson,Robert B. Weide
1740,Action Adventure Crime,crime fighter secret identity marvel comic superhero aftercreditsstinger,Kick-Ass 2,Kick-Ass 2,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Clark Duke Jim Carrey,Jeff Wadlow
1741,Action,,Alatriste,Alatriste,Viggo Mortensen Elena Anaya Unax Ugalde Eduard Fern\u00e1ndez Eduardo Noriega,Agust\u00edn D\u00edaz Yanes
1742,Action Crime Drama,martial arts atomic bomb ghetto parkour cops,Brick Mansions,Brick Mansions,Paul Walker David Belle RZA Robert Maillet Carlo Rota,Camille Delamarre
1743,Adventure Action Thriller,atomic bomb eastern block crocodile secret intelligence service kgb,Octopussy,Octopussy,Roger Moore Maud Adams Louis Jourdan Kristina Wayborn Kabir Bedi,John Glen
1744,Comedy Romance Drama,alcohol one-night stand bed pregnancy and birth condom,Knocked Up,Knocked Up,Seth Rogen Katherine Heigl Leslie Mann Paul Rudd Jason Segel,Judd Apatow
1745,Drama,parents kids relationship sister sister relationship court case in vitro fertilisation medical examiner,My Sister's Keeper,My Sister's Keeper,Cameron Diaz Alec Baldwin Abigail Breslin Joan Cusack Sofia Vassilieva,Nick Cassavetes
1746,Comedy Drama,talk show,Welcome Home Roscoe Jenkins,Welcome Home Roscoe Jenkins,Martin Lawrence James Earl Jones Margaret Avery Joy Bryant Cedric the Entertainer,Malcolm D. Lee
1747,Drama Adventure History,doctor india english magistrate 1920s,A Passage to India,A Passage to India,Judy Davis Alec Guinness Peggy Ashcroft James Fox Victor Banerjee,David Lean
1748,Drama Romance,sex adultery based on novel cat infidelity,Notes on a Scandal,Notes on a Scandal,Judi Dench Cate Blanchett Bill Nighy Juno Temple Max Lewis,Richard Eyre
1749,Drama Thriller,anti terror terror cia loss of son police brutality,Rendition,Rendition,Omar Metwally Reese Witherspoon Jake Gyllenhaal Moa Khouas Zineb Oukach,Gavin Hood
1750,Science Fiction Action Adventure Thriller,farewell federation starfleet peace conference uss enterprise-a,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
1751,Comedy Drama Romance,secret society conciliation marriage mother daughter relationship playwright,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,Sandra Bullock Ellen Burstyn Fionnula Flanagan James Garner Cherry Jones,Callie Khouri
1752,Drama Mystery Thriller Crime,washington d.c. covered investigation investigation north carolina missing person,Kiss the Girls,Kiss the Girls,Morgan Freeman Ashley Judd Cary Elwes Alex McArthur Tony Goldwyn,Gary Fleder
1753,Music Comedy Action Crime,dancing prison chicago country music nun,The Blues Brothers,The Blues Brothers,Dan Aykroyd John Belushi James Brown Cab Calloway Ray Charles,John Landis
1754,Adventure Comedy Drama Family,female friendship best friend summer vacation woman director young adult,The Sisterhood of the Traveling Pants 2,The Sisterhood of the Traveling Pants 2,Alexis Bledel Amber Tamblyn America Ferrera Blake Lively Rachel Nichols,Sanaa Hamri
1755,Comedy Music,,Joyful Noise,Joyful Noise,Queen Latifah Dolly Parton Keke Palmer Jeremy Jordan Courtney B. Vance,Todd Graff
1756,Drama Comedy Romance,london england rock and roll single parent rap music bachelor,About a Boy,About a Boy,Hugh Grant Nicholas Hoult Toni Collette Rachel Weisz Sharon Small,Chris Weitz
1757,Horror Comedy Action Science Fiction Thriller,diving sheriff lake crocodile deputy,Lake Placid,Lake Placid,Bill Pullman Bridget Fonda Oliver Platt Brendan Gleeson Betty White,Steve Miner
1758,Drama Thriller Crime Mystery,assassination assassin identity sniper mistake in person,Lucky Number Slevin,Lucky Number Slevin,Josh Hartnett Bruce Willis Lucy Liu Morgan Freeman Ben Kingsley,Paul McGuigan
1759,Drama History,cold war pilot space travel politics historical figure,The Right Stuff,The Right Stuff,Fred Ward Dennis Quaid Ed Harris Scott Glenn Sam Shepard,Philip Kaufman
1760,Drama History Thriller,shakespeare anonymity poet play political,Anonymous,Anonymous,Jamie Campbell Bower Rhys Ifans David Thewlis Joely Richardson Vanessa Redgrave,Roland Emmerich
1761,Drama Family Fantasy Adventure,based on novel fictional place wolf mythology magic,The Neverending Story,The NeverEnding Story,Barret Oliver Gerald McRaney Noah Hathaway Drum Garrett Darryl Cooksey,Wolfgang Petersen
1762,Mystery Science Fiction,soul sleep manipulation future dystopia,Dark City,Dark City,Rufus Sewell William Hurt Kiefer Sutherland Jennifer Connelly Richard O'Brien,Alex Proyas
1763,Drama History Romance,england adultery duke gambling debts marriage crisis,The Duchess,The Duchess,Keira Knightley Ralph Fiennes Aidan McArdle Simon McBurney Charlotte Rampling,Saul Dibb
1764,Adventure Family Fantasy,wizard of oz,Return to Oz,Return to Oz,Fairuza Balk Nicol Williamson Jean Marsh Piper Laurie Matt Clark,Walter Murch
1765,Crime Action Drama,bank robber crime spree western u.s.,The Newton Boys,The Newton Boys,Matthew McConaughey Skeet Ulrich Ethan Hawke Vincent D'Onofrio Gail Cronauer,Richard Linklater
1766,Horror Mystery Thriller,child abuse detective social worker supernatural murder,Case 39,Case 39,Ren\u00e9e Zellweger Jodelle Ferland Ian McShane Kerry O'Malley Callum Keith Rennie,Christian Alvart
1767,Crime Thriller,serial killer,Suspect Zero,Suspect Zero,Carrie-Anne Moss Aaron Eckhart Ben Kingsley Harry Lennix Kevin Chamberlin,E. Elias Merhige
1768,Drama,underdog adoption education adoptive father childhood trauma,Martian Child,Martian Child,John Cusack Bobby Coleman Amanda Peet Joan Cusack Oliver Platt,Menno Meyjes
1769,Family Comedy Action,spy child hero secret agent espionage,Spy Kids: All the Time in the World,Spy Kids: All the Time in the World,Jessica Alba Mason Cook Rowan Blanchard Joel McHale Jeremy Piven,Robert Rodriguez
1770,Thriller,bomb sniper tv show hostage drama police,Money Monster,Money Monster,George Clooney Julia Roberts Jack O'Connell Caitriona Balfe Dominic West,Jodie Foster
1771,Thriller Action Comedy Crime,chemical laxative skinheads,The 51st State,The 51st State,Samuel L. Jackson Robert Carlyle Emily Mortimer Meat Loaf Rhys Ifans,Ronny Yu
1772,Comedy Drama,independent film,Flawless,Flawless,Robert De Niro Philip Seymour Hoffman Barry Miller Chris Bauer Skipp Sudduth,Joel Schumacher
1773,Mystery Thriller Crime,fbi island serial killer series of murders,Mindhunters,Mindhunters,LL Cool J Jonny Lee Miller Kathryn Morris Patricia Vel\u00e1squez Clifton Collins Jr,Renny Harlin
1774,Comedy Drama,film producer midlife crisis independent film divorce,What Just Happened,What Just Happened,Bruce Willis Robert De Niro Sean Penn Robin Wright Stanley Tucci,Barry Levinson
1775,Drama Thriller,,The Statement,The Statement,Michael Caine Tilda Swinton Jeremy Northam Alan Bates Charlotte Rampling,Norman Jewison
1776,Comedy Drama Music,fictional place opera musical,The Magic Flute,The Magic Flute,Joseph Kaiser Amy Carson Ren\u00e9 Pape Lyubov Petrova Benjamin Jay Davis,Kenneth Branagh
1777,Action Adventure Comedy Family,security guard duringcreditsstinger,Paul Blart: Mall Cop,Paul Blart: Mall Cop,Kevin James Keir O'Donnell Jayma Mays Raini Rodriguez Shirley Knight,Steve Carr
1778,Comedy,single parent brother sister relationship mistake in person bride talk show,Freaky Friday,Freaky Friday,Jamie Lee Curtis Lindsay Lohan Mark Harmon Harold Gould Haley Hudson,Mark Waters
1779,Comedy Romance,first time virgin,The 40 Year Old Virgin,The 40 Year Old Virgin,Steve Carell Catherine Keener Paul Rudd Romany Malco Seth Rogen,Judd Apatow
1780,Romance History,shakespeare love of one's life oscar award theatre play theatre group,Shakespeare in Love,Shakespeare in Love,Joseph Fiennes Gwyneth Paltrow Geoffrey Rush Tom Wilkinson Judi Dench,John Madden
1781,Crime Drama Mystery Thriller,based on novel murder mafia private investigator new york city,A Walk Among the Tombstones,A Walk Among the Tombstones,Liam Neeson Dan Stevens David Harbour Boyd Holbrook Adam David Thompson,Scott Frank
1782,Comedy,crime fighter cook drug dealer dying and death kindergarten,Kindergarten Cop,Kindergarten Cop,Arnold Schwarzenegger Penelope Ann Miller Pamela Reed Linda Hunt Richard Tyson,Ivan Reitman
1783,Action Comedy,smoking marijuana stoner roach lollipop,Pineapple Express,Pineapple Express,Seth Rogen James Franco Danny McBride Gary Cole Rosie Perez,David Gordon Green
1784,Drama Romance Comedy,france child abuse slavery leonardo da vinci prince,EverAfter,Ever After: A Cinderella Story,Drew Barrymore Dougray Scott Anjelica Huston Megan Dodds Melanie Lynskey,Andy Tennant
1785,Western,horse beef ranger,Open Range,Open Range,Kevin Costner Robert Duvall Michael Gambon Michael Jeter Diego Luna,Kevin Costner
1786,Drama Horror Science Fiction Thriller,life and death afterlife swing memory medical student,Flatliners,Flatliners,Kiefer Sutherland Julia Roberts Kevin Bacon William Baldwin Oliver Platt,Joel Schumacher
1787,Drama History War,netherlands world war ii panzer british soldier,A Bridge Too Far,A Bridge Too Far,Dirk Bogarde James Caan Michael Caine Sean Connery Edward Fox,Richard Attenborough
1788,Horror Thriller,hostage menace hitman airplane,Red Eye,Red Eye,Rachel McAdams Cillian Murphy Brian Cox Jayma Mays Jack Scalia,Wes Craven
1789,Horror Mystery,ambulance premonition hospital,Final Destination 2,Final Destination 2,Ali Larter A.J. Cook Michael Landes Tony Todd Keegan Connor Tracy,David R. Ellis
1790,Action Adventure Comedy,prophecy southern usa music record country music mississippi,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",George Clooney John Turturro Tim Blake Nelson John Goodman Holly Hunter,Joel Coen
1791,Horror,angel diner religion apocalypse demon,Legion,Legion,Paul Bettany Dennis Quaid Kevin Durand Kate Walsh Doug Jones,Scott Stewart
1792,Thriller Crime Action,miami scam crime weight lifting weightlifting,Pain & Gain,Pain & Gain,Mark Wahlberg Dwayne Johnson Anthony Mackie Tony Shalhoub Ed Harris,Michael Bay
1793,Comedy Drama Romance,midlife crisis daughter bad boss,In Good Company,In Good Company,Topher Grace Scarlett Johansson Dennis Quaid Marg Helgenberger David Paymer,Paul Weitz
1794,Adventure Family Science Fiction Thriller,time airplane youth wristwatch,Clockstoppers,Clockstoppers,Jesse Bradford Paula Garc\u00e9s Robin Thomas French Stewart Michael Biehn,Jonathan Frakes
1795,Action Crime Drama Western,sheriff fight horse male friendship two guns belt,Silverado,Silverado,Kevin Kline Scott Glenn Kevin Costner Danny Glover Brian Dennehy,Lawrence Kasdan
1796,Drama Thriller War,brother brother relationship brother-in-law loss of husband war in afghanistan sister-in-law,Brothers,Brothers,Tobey Maguire Jake Gyllenhaal Natalie Portman Sam Shepard Mare Winningham,Jim Sheridan
1797,Comedy,london england cia teenage hero teen spy cia agent,Agent Cody Banks 2: Destination London,Agent Cody Banks 2: Destination London,Frankie Muniz Anthony Anderson Hannah Spearritt Alfie Allen Cynthia Stevenson,Kevin Allen
1798,Comedy Romance,new year's eve illustrator caterer pedicab ticket,New Year's Eve,New Year's Eve,Robert De Niro Katherine Heigl Ashton Kutcher Carla Gugino Lea Michele,Garry Marshall
1799,Drama Thriller Mystery Romance,women sex cuba eroticism lover (female),Original Sin,Original Sin,Angelina Jolie Antonio Banderas Gregory Itzin Jack Thompson Allison Mackie,Michael Cristofer
1800,Crime Thriller Mystery,poison blackmail masked ball historical figure buried alive,The Raven,The Raven,John Cusack Luke Evans Alice Eve Brendan Gleeson Kevin McNally,James McTeigue
1801,Comedy,,Welcome to Mooseport,Welcome to Mooseport,Ray Romano Gene Hackman Marcia Gay Harden Maura Tierney June Squibb,Donald Petrie
1802,Action Fantasy Science Fiction,japan new york scotland morocco good and bad,Highlander III: The Sorcerer,Highlander: The Final Dimension,Christopher Lambert Mario Van Peebles Deborah Kara Unger Mako Martin Neufeld,Andrew Morahan
1803,Crime Drama Thriller,robbery gun fight love murder,Blood and Wine,Blood and Wine,Jack Nicholson Stephen Dorff Jennifer Lopez Judy Davis Michael Caine,Bob Rafelson
1804,Fantasy Horror,jealousy toxication castle step mother fairy-tale figure,Snow White: A Tale of Terror,Snow White: A Tale of Terror,Sigourney Weaver Sam Neill Monica Keena Gil Bellows Brian Glover,Michael Cohn
1805,Comedy Crime Mystery Romance Thriller,hypnosis independent film,The Curse of the Jade Scorpion,The Curse of the Jade Scorpion,Dan Aykroyd Helen Hunt Woody Allen Charlize Theron David Ogden Stiers,Woody Allen
1806,Romance Comedy,one-night stand romantic comedy accidental love,Accidental Love,Accidental Love,Jake Gyllenhaal Jessica Biel James Marsden Catherine Keener Paul Reubens,David O. Russell
1807,Adventure Family,dolphin florida florida keys summer,Flipper,Flipper,Elijah Wood Paul Hogan Jonathan Banks Jason Fuchs Robert Deacon,Alan Shapiro
1808,Science Fiction Mystery Thriller,lie immortality terminal illness laboratory cancer,Self/less,Self/less,Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery,Tarsem Singh
1809,Drama Mystery Thriller,aids diplomat nairobi politician pharmaceutical industry,The Constant Gardener,The Constant Gardener,Ralph Fiennes Rachel Weisz Danny Huston Bill Nighy Donald Sumpter,Fernando Meirelles
1810,Drama,christianity jewry roman empire jesus christ suffering,The Passion of the Christ,The Passion of the Christ,Jim Caviezel Maia Morgenstern Monica Bellucci Rosalinda Celentano Sergio Rubini,Mel Gibson
1811,Comedy Drama Family,san francisco parents kids relationship restaurant nanny mask,Mrs. Doubtfire,Mrs. Doubtfire,Robin Williams Sally Field Pierce Brosnan Harvey Fierstein Polly Holliday,Chris Columbus
1812,Drama,individual mentally disabled autism loss of father yuppie,Rain Man,Rain Man,Dustin Hoffman Tom Cruise Valeria Golino Gerald R. Molen Jack Murdock,Barry Levinson
1813,Drama,rape war veteran immigration priest gang,Gran Torino,Gran Torino,Clint Eastwood Christopher Carley Bee Vang Ahney Her Brian Haley,Clint Eastwood
1814,Drama History,usa white house usa president george w. bush president,W.,W.,Josh Brolin Elizabeth Banks Ellen Burstyn Ioan Gruffudd Thandie Newton,Oliver Stone
1815,Action Thriller,paris kidnapping human trafficking rescue prostitution,Taken,Taken,Liam Neeson Famke Janssen Maggie Grace Katie Cassidy Holly Valance,Pierre Morel
1816,Drama Romance,high school sweetheart,The Best of Me,The Best of Me,Michelle Monaghan James Marsden Liana Liberato Luke Bracey Gerald McRaney,Michael Hoffman
1817,Thriller Action Drama Music Romance,sister sister relationship anonymous letter diva bodyguard oscar award,The Bodyguard,The Bodyguard,Whitney Houston Kevin Costner Michele Lamar Richards Ralph Waite Gary Kemp,Mick Jackson
1818,Drama History War,factory concentration camp hero holocaust world war ii,Schindler's List,Schindler's List,Liam Neeson Ben Kingsley Ralph Fiennes Caroline Goodall Jonathan Sagall,Steven Spielberg
1819,Drama,mississippi based on novel exploitation racial segregation racism,The Help,The Help,Emma Stone Viola Davis Octavia Spencer Bryce Dallas Howard Jessica Chastain,Tate Taylor
1820,Drama Thriller,journalist biography internet information leak activist,The Fifth Estate,The Fifth Estate,Benedict Cumberbatch Daniel Br\u00fchl Anthony Mackie David Thewlis Alicia Vikander,Bill Condon
1821,Mystery Fantasy Adventure Comedy,detective monster engine based on tv series dog,Scooby-Doo 2: Monsters Unleashed,Scooby-Doo 2: Monsters Unleashed,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Seth Green,Raja Gosnell
1822,Thriller Adventure Mystery Fantasy,monster mystic church demon witchcraft,Viy,Forbidden Kingdom,Jason Flemyng Aleksey Chadov Agniya Ditkovskite Yuriy Tsurilo Olga Zaytseva,Oleg Stepchenko
1823,Horror,murder marijuana teenager bad dream,Freddy vs. Jason,Freddy vs. Jason,Robert Englund Ken Kirzinger Jason Ritter Monica Keena Lochlyn Munro,Ronny Yu
1824,Thriller Drama,murder investigation,The Face of an Angel,The Face of an Angel,Kate Beckinsale Cara Delevingne Daniel Br\u00fchl Ava Acres Corrado Invernizzi,Michael Winterbottom
1825,Action Adventure Animation Comedy Family,showdown gi villain genius alien,Jimmy Neutron: Boy Genius,Jimmy Neutron: Boy Genius,Debi Derryberry Megan Cavanagh Mark DeCarlo Jeffrey Garcia Patrick Stewart,John A. Davis
1826,Action Thriller Science Fiction,helicopter monster skyscraper fight camcorder,Cloverfield,Cloverfield,Lizzy Caplan Jessica Lucas Odette Annable Michael Stahl-David Mike Vogel,Matt Reeves
1827,Science Fiction Adventure Action Comedy Family,crime fighter fight mutant turtle ninja,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Paige Turco David Warner Michelan Sisti Leif Tilden Kenn Scott,Michael Pressman
1828,Crime Drama History Thriller,white suit al capone tough cop treasury agent untouchable,The Untouchables,The Untouchables,Kevin Costner Sean Connery Charles Martin Smith Andy Garc\u00eda Robert De Niro,Brian De Palma
1829,Crime Drama Thriller,texas drug traffic hitman united states\u2013mexico barrier suspense,No Country for Old Men,No Country for Old Men,Tommy Lee Jones Javier Bardem Josh Brolin Woody Harrelson Kelly Macdonald,Joel Coen
1830,Action Comedy,police operation police officer brother-in-law brother-in-law relationship duringcreditsstinger black men,Ride Along,Ride Along,Ice Cube Kevin Hart John Leguizamo Bruce McGill Tika Sumpter,Tim Story
1831,Comedy Romance Drama,holiday london england england alcohol sex,Bridget Jones's Diary,Bridget Jones's Diary,Ren\u00e9e Zellweger Colin Firth Hugh Grant Gemma Jones Jim Broadbent,Sharon Maguire
1832,Comedy Drama Romance,chocolate mayor praline single mother daughter relationship,Chocolat,Chocolat,Juliette Binoche Alfred Molina Johnny Depp Judi Dench Leslie Caron,Lasse Hallstr\u00f6m
1833,Comedy,washington d.c. boston chambers of a barrister tierversuch lawyer,"Legally Blonde 2: Red, White & Blonde","Legally Blonde 2: Red, White & Blonde",Reese Witherspoon Sally Field Regina King Jennifer Coolidge James Newman,Charles Herman-Wurmfeld
1834,Comedy,,Parental Guidance,Parental Guidance,Billy Crystal Bette Midler Marisa Tomei Tom Everett Scott Bailee Madison,Andy Fickman
1835,Comedy Romance,father son relationship casual meeting student of medicine friends valentine,No Strings Attached,No Strings Attached,Natalie Portman Ashton Kutcher Kevin Kline Cary Elwes Greta Gerwig,Ivan Reitman
1836,Action Adventure Drama History Western,retirement wyatt earp right and justice historical figure,Tombstone,Tombstone,Kurt Russell Val Kilmer Sam Elliott Bill Paxton Powers Boothe,George P. Cosmatos
1837,Action Crime Thriller,martial arts hip-hop oakland asian asian man,Romeo Must Die,Romeo Must Die,Jet Li Aaliyah Isaiah Washington Russell Wong DMX,Andrzej Bartkowiak
1838,Horror Thriller,monk prophecy ambassador nanny rottweiler,The Omen,The Omen,Gregory Peck Lee Remick David Warner Billie Whitelaw Harvey Stephens,Richard Donner
1839,Horror Mystery,beheading dying and death stroke of fate,Final Destination 3,Final Destination 3,Mary Elizabeth Winstead Ryan Merriman Kris Lemche Alexz Johnson Sam Easton,James Wong
1840,Drama Romance,based on novel wife husband relationship photo kennel playing chess,The Lucky One,The Lucky One,Zac Efron Blythe Danner Taylor Schilling Jay R. Ferguson Riley Thomas Stewart,Scott Hicks
1841,Adventure Drama Family,brother sister relationship friendship bullying neighbor school,Bridge to Terabithia,Bridge to Terabithia,Josh Hutcherson AnnaSophia Robb Robert Patrick Zooey Deschanel Bailee Madison,G\u00e1bor Csup\u00f3
1842,Drama,london england scotland parents kids relationship becoming an adult fantasy,Finding Neverland,Finding Neverland,Johnny Depp Kate Winslet Julie Christie Dustin Hoffman Freddie Highmore,Marc Forster
1843,Comedy Drama,christmas,A Madea Christmas,A Madea Christmas,Tyler Perry Anna Maria Horsford Tika Sumpter Eric Lively Chad Michael Murray,Tyler Perry
1844,Action Drama Thriller,alcohol isolation wolf wilderness forest,The Grey,The Grey,Liam Neeson Dermot Mulroney Frank Grillo Dallas Roberts Joe Anderson,Joe Carnahan
1845,Horror Mystery Thriller,house imaginary friend suspense loss of wife,Hide and Seek,Hide and Seek,Robert De Niro Dakota Fanning Famke Janssen Elisabeth Shue Amy Irving,John Polson
1846,Comedy,journalism sexism ladder panda tv show in film,Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,Will Ferrell Christina Applegate Paul Rudd David Koechner Steve Carell,Adam McKay
1847,Drama Crime,prison based on novel florida 1970s mass murder,GoodFellas,GoodFellas,Robert De Niro Ray Liotta Joe Pesci Lorraine Bracco Paul Sorvino,Martin Scorsese
1848,Action,spy cia killer robot delinquent teen spy,Agent Cody Banks,Agent Cody Banks,Frankie Muniz Hilary Duff Angie Harmon Keith David Cynthia Stevenson,Harald Zwart
1849,Fantasy Comedy Family,loss of mother nanny education wizardry children,Nanny McPhee,Nanny McPhee,Emma Thompson Colin Firth Kelly Macdonald Thomas Brodie-Sangster Eliza Bennett,Kirk Jones
1850,Action Crime Drama Thriller,miami corruption capitalism cuba prohibition,Scarface,Scarface,Al Pacino Steven Bauer Michelle Pfeiffer Mary Elizabeth Mastrantonio Robert Loggia,Brian De Palma
1851,Action Adventure Comedy,rap music infidelity security camera loss crook,Nothing to Lose,Nothing to Lose,Tim Robbins Martin Lawrence John C. McGinley Kelly Preston Irma P. Hall,Steve Oedekerk
1852,Drama History,buddhism japan suicide china suicide attempt,The Last Emperor,The Last Emperor,John Lone Peter O'Toole Joan Chen Dennis Dun Ryuichi Sakamoto,Bernardo Bertolucci
1853,Thriller Action Drama Crime,head wound criminal security guard contraband,Contraband,Contraband,Mark Wahlberg Kate Beckinsale Ben Foster Giovanni Ribisi J.K. Simmons,Baltasar Korm\u00e1kur
1854,Action Adventure Comedy,prison diamant liberation of prisoners transport of prisoners interview,Money Talks,Money Talks,Chris Tucker Charlie Sheen Heather Locklear Paul Sorvino Elise Neal,Brett Ratner
1855,Drama,brother brother relationship deaf-mute american dream fanatic pipeline,There Will Be Blood,There Will Be Blood,Daniel Day-Lewis Paul Dano Dillon Freasier Ciar\u00e1n Hinds Kevin J. O'Connor,Paul Thomas Anderson
1856,Animation Adventure Family,sister sister relationship safari wildlife baboon chimpanzee,The Wild Thornberrys Movie,The Wild Thornberrys Movie,Lacey Chabert Tom Kane Cree Summer Tim Curry Lynn Redgrave,Cathy Malkasian
1857,Animation Family,kids and family,Rugrats Go Wild,Rugrats Go Wild,E.G. Daily Nancy Cartwright Kath Soucie Dionne Quan Tim Curry,Norton Virgien
1858,Action Comedy,usa president double life policy and organisations undercover intelligence,Undercover Brother,Undercover Brother,Eddie Griffin Chris Kattan Denise Richards Aunjanue Ellis Chi McBride,Malcolm D. Lee
1859,Drama Comedy,holiday female friendship jeans coming of age teenage girl,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,Amber Tamblyn Alexis Bledel America Ferrera Blake Lively Jenna Boyd,Ken Kwapis
1860,Action Crime Thriller,paris prostitute drug,Kiss of the Dragon,Kiss of the Dragon,Jet Li Bridget Fonda Tch\u00e9ky Karyo Max Ryan Ric Young,Chris Nahon
1861,Romance Comedy,virgin nudity college costume yoga,The House Bunny,The House Bunny,Anna Faris Emma Stone Kat Dennings Katharine McPhee Rumer Willis,Fred Wolf
1862,Comedy Romance,,Beauty Shop,Beauty Shop,Queen Latifah Alicia Silverstone Andie MacDowell Alfre Woodard Mena Suvari,Bille Woodruff
1863,Drama,baseball sport duringcreditsstinger,Million Dollar Arm,Million Dollar Arm,Jon Hamm Bill Paxton Lake Bell Suraj Sharma Aasif Mandvi,Craig Gillespie
1864,Drama Science Fiction,dystopia black and white based on young adult novel,The Giver,The Giver,Jeff Bridges Meryl Streep Brenton Thwaites Odeya Rush Alexander Skarsg\u00e5rd,Phillip Noyce
